media_id,status,score
9062,COMPLETED,6
10067,COMPLETED,5
104325,COMPLETED,6
101922,COMPLETED,10
18497,COMPLETED,9
16732,COMPLETED,7
110277,COMPLETED,9
109403,COMPLETED,8
105333,COMPLETED,10
20654,COMPLETED,7
21753,COMPLETED,7
105074,COMPLETED,5
107226,COMPLETED,6
98820,COMPLETED,7
105310,COMPLETED,8
104723,COMPLETED,4
112151,COMPLETED,8
109963,COMPLETED,7
103275,COMPLETED,8
1138,COMPLETED,4
104159,COMPLETED,6
104722,COMPLETED,4
99394,COMPLETED,6
12317,COMPLETED,3
108759,COMPLETED,6
97875,COMPLETED,6
101759,COMPLETED,10
108632,COMPLETED,8
107339,COMPLETED,6
105156,COMPLETED,8
101348,COMPLETED,6
108478,COMPLETED,8
20829,COMPLETED,6
8769,COMPLETED,7
20513,COMPLETED,7
8841,COMPLETED,5
21403,COMPLETED,7
4382,COMPLETED,6
5681,COMPLETED,7
7311,COMPLETED,8
17549,COMPLETED,8
101347,COMPLETED,8
11499,COMPLETED,7
99483,COMPLETED,5
101261,COMPLETED,6
100728,COMPLETED,6
20694,COMPLETED,8
98779,COMPLETED,7
108307,COMPLETED,6
104679,COMPLETED,4
18671,COMPLETED,7
20889,COMPLETED,7
98762,COMPLETED,7
16934,COMPLETED,7
20021,COMPLETED,6
442,COMPLETED,6
936,COMPLETED,6
2144,COMPLETED,7
113359,COMPLETED,9
113936,COMPLETED,8
1689,COMPLETED,7
114236,COMPLETED,7
16694,COMPLETED,7
13055,COMPLETED,7
108617,COMPLETED,8
112641,COMPLETED,10
110270,COMPLETED,4
104461,COMPLETED,7
105228,COMPLETED,7
21485,COMPLETED,6
16239,COMPLETED,7
4155,COMPLETED,8
12859,COMPLETED,8
21335,COMPLETED,8
8740,COMPLETED,7
15323,COMPLETED,7
21230,COMPLETED,7
3848,COMPLETED,8
20835,COMPLETED,8
16468,COMPLETED,6
100723,COMPLETED,7
5252,COMPLETED,7
110851,COMPLETED,7
21831,COMPLETED,7
115230,COMPLETED,8
114043,COMPLETED,7
112803,COMPLETED,7
114308,COMPLETED,5
111323,COMPLETED,5
117193,COMPLETED,7
9515,COMPLETED,6
106479,COMPLETED,7
10020,COMPLETED,6
18857,COMPLETED,6
13659,COMPLETED,6
10209,COMPLETED,5
16762,COMPLETED,6
15617,COMPLETED,7
100093,COMPLETED,6
112444,COMPLETED,7
226,COMPLETED,6
113813,COMPLETED,7
20574,COMPLETED,8
21789,COMPLETED,6
104307,COMPLETED,7
108581,COMPLETED,7
101001,COMPLETED,8
339,COMPLETED,7
3287,COMPLETED,1
330,COMPLETED,6
13405,COMPLETED,1
99302,COMPLETED,8
6953,COMPLETED,2
20946,COMPLETED,8
10681,COMPLETED,5
110349,COMPLETED,9
21790,COMPLETED,4
110446,COMPLETED,1
415,COMPLETED,7
110355,COMPLETED,8
4531,COMPLETED,1
124223,COMPLETED,7
116006,COMPLETED,7
101343,COMPLETED,8
101344,COMPLETED,9
100643,COMPLETED,10
109190,COMPLETED,7
14173,COMPLETED,3
108725,COMPLETED,6
119661,COMPLETED,7
117533,COMPLETED,7
103632,COMPLETED,5
21295,COMPLETED,5
9260,COMPLETED,8
21399,COMPLETED,8
21400,COMPLETED,8
125367,COMPLETED,9
15689,COMPLETED,7
10029,COMPLETED,7
104990,COMPLETED,8
102649,COMPLETED,7
104382,COMPLETED,7
113917,COMPLETED,6
20593,COMPLETED,7
105143,COMPLETED,7
113415,COMPLETED,10
113425,COMPLETED,2
21585,COMPLETED,7
112608,COMPLETED,7
124845,COMPLETED,7
131573,COMPLETED,9
131681,COMPLETED,8
131773,COMPLETED,5
108465,COMPLETED,8
125426,COMPLETED,6
116742,COMPLETED,7
131942,COMPLETED,8
116588,COMPLETED,6
132193,COMPLETED,7
120697,COMPLETED,7
13331,COMPLETED,7
128547,COMPLETED,8
128546,COMPLETED,9
114535,COMPLETED,8
109298,COMPLETED,7
1519,COMPLETED,7
4901,COMPLETED,7
20918,COMPLETED,8
21262,COMPLETED,8
100815,COMPLETED,7
21520,COMPLETED,7
127720,COMPLETED,8
125368,COMPLETED,7
124080,COMPLETED,7
133965,COMPLETED,8
21577,COMPLETED,8
129874,COMPLETED,8
111321,COMPLETED,7
116589,COMPLETED,8
131586,COMPLETED,8
131083,COMPLETED,7
122052,COMPLETED,6
120120,COMPLETED,7
107625,COMPLETED,7
6114,COMPLETED,7
100077,COMPLETED,8
99425,COMPLETED,7
2890,COMPLETED,7
967,COMPLETED,7
140960,COMPLETED,10
142329,COMPLETED,9
1356,COMPLETED,7
113717,COMPLETED,10
1357,COMPLETED,6
132405,COMPLETED,7
4106,COMPLETED,7
6372,COMPLETED,6
6637,COMPLETED,6
14189,COMPLETED,5
141014,COMPLETED,7
137281,COMPLETED,6
21861,COMPLETED,7
20722,CURRENT,0
918,CURRENT,0
1852,CURRENT,0
21,CURRENT,8
124410,CURRENT,0
130592,CURRENT,0
127230,CURRENT,0
132351,CURRENT,0
114745,CURRENT,0
133844,CURRENT,0
138565,CURRENT,0
140439,CURRENT,0
142343,CURRENT,0
142984,CURRENT,0
146722,CURRENT,0
139630,CURRENT,0
142838,CURRENT,0
141391,CURRENT,0
143270,CURRENT,0
129201,CURRENT,0
