id,status,score,progress,completedAt,media_id
59107988,COMPLETED,3,12,08-13-2019,97932
59107989,COMPLETED,6,12,03-01-2019,19369
59107990,COMPLETED,5,13,01-08-2018,20832
59107991,COMPLETED,6,13,04-08-2018,98437
59107992,COMPLETED,7,13,11-13-2018,101474
59107993,COMPLETED,3,8,04-22-2020,21305
59107994,COMPLETED,5,13,,101083
59107995,COMPLETED,8,7,07-26-2021,21745
59107996,COMPLETED,8,11,01-13-2018,20607
59107998,COMPLETED,8,5,07-09-2020,21732
59107999,COMPLETED,7,26,02-05-2018,329
59108000,COMPLETED,5,12,,98549
59108002,COMPLETED,8,12,11-25-2017,20807
59108003,COMPLETED,7,1,03-27-2018,21565
59108004,COMPLETED,8,22,11-04-2020,13601
59108005,COMPLETED,1,12,,19315
59108007,COMPLETED,8,25,11-01-2019,21355
59108008,COMPLETED,8,1,,6675
59108010,COMPLETED,3,12,03-03-2018,21517
59108012,COMPLETED,5,12,04-03-2019,20955
59108013,COMPLETED,5,12,11-25-2017,21700
59108015,COMPLETED,7,2,,87539
59108016,COMPLETED,6,11,08-07-2019,20556
59108019,COMPLETED,7,25,11-08-2019,97903
59108021,COMPLETED,7,24,05-28-2020,13759
59108022,COMPLETED,8,26,11-25-2017,205
59108023,COMPLETED,6,12,08-04-2020,21334
59108025,COMPLETED,4,12,03-12-2018,21201
59108028,COMPLETED,8,13,02-04-2019,101291
59108031,COMPLETED,9,1,04-16-2018,199
59108032,COMPLETED,5,12,07-04-2020,21269
59108033,COMPLETED,7,12,11-25-2017,20590
59108034,COMPLETED,6,2,04-03-2018,98629
59108035,COMPLETED,7,24,11-25-2017,21184
59108036,COMPLETED,8,25,11-25-2017,16498
59108037,COMPLETED,6,3,02-05-2018,18397
59108038,COMPLETED,8,12,,20958
59108039,COMPLETED,7,12,10-16-2018,99147
59108040,COMPLETED,8,10,,104578
59108041,COMPLETED,7,3,05-02-2019,99634
59108043,COMPLETED,9,25,04-27-2022,13125
59108045,COMPLETED,9,24,08-11-2018,20923
59108046,COMPLETED,8,13,01-29-2018,21518
59108047,COMPLETED,8,12,06-19-2019,99255
59108048,COMPLETED,9,12,06-23-2019,100773
59108050,COMPLETED,6,12,,99420
59108054,COMPLETED,7,12,01-12-2018,21838
59108055,COMPLETED,5,12,11-18-2018,19775
59108056,COMPLETED,6,12,11-18-2018,20762
59108058,COMPLETED,10,13,11-30-2018,99426
59108059,COMPLETED,7,51,01-23-2018,3588
59108060,COMPLETED,6,12,01-30-2018,20547
59108063,COMPLETED,9,13,11-25-2017,20057
59108064,COMPLETED,8,13,11-25-2017,20666
59108065,COMPLETED,6,12,12-28-2018,99424
59108066,COMPLETED,10,24,,9253
59108067,COMPLETED,8,23,11-11-2018,21127
59108068,COMPLETED,8,1,12-29-2017,11577
59108069,COMPLETED,8,1,12-29-2017,21624
59108070,COMPLETED,8,1,12-28-2017,10863
59108071,COMPLETED,5,24,04-21-2022,18277
59108072,COMPLETED,7,24,05-04-2020,25
59108073,COMPLETED,7,14,02-02-2020,849
59108074,COMPLETED,7,25,12-04-2019,11757
59108075,COMPLETED,6,12,04-19-2020,100183
59108077,COMPLETED,7,24,12-14-2019,20594
59108078,COMPLETED,5,24,03-20-2020,100182
59108079,COMPLETED,1,12,05-04-2022,100762
59108081,COMPLETED,6,13,07-09-2019,13333
59108082,COMPLETED,5,12,03-25-2022,12445
59108083,COMPLETED,8,25,06-29-2019,99263
59108084,COMPLETED,8,27,05-24-2021,2001
59108086,COMPLETED,9,24,09-13-2020,101280
59108087,COMPLETED,7,13,,20629
59108089,COMPLETED,7,2,,20630
59108094,COMPLETED,6,12,01-15-2020,20605
59108095,COMPLETED,6,12,01-18-2020,20850
59108096,COMPLETED,4,12,01-18-2020,100240
59108097,COMPLETED,4,12,01-18-2020,102351
59108098,COMPLETED,8,13,04-09-2020,14227
