media_id,status,score,progress,completedAt
849,COMPLETED,7,14,02-02-2020
11757,COMPLETED,7,25,12-04-2019
100183,COMPLETED,6,12,04-19-2020
20594,COMPLETED,7,24,12-14-2019
100182,COMPLETED,5,24,03-20-2020
100762,COMPLETED,1,12,05-04-2022
13333,COMPLETED,6,13,07-09-2019
12445,COMPLETED,5,12,03-25-2022
99263,COMPLETED,8,25,06-29-2019
2001,COMPLETED,8,27,05-24-2021
101280,COMPLETED,9,24,09-13-2020
20629,COMPLETED,7,13,
20630,COMPLETED,7,2,
20605,COMPLETED,6,12,01-15-2020
20850,COMPLETED,6,12,01-18-2020
100240,COMPLETED,4,12,01-18-2020
102351,COMPLETED,4,12,01-18-2020
14227,COMPLETED,8,13,04-09-2020
523,COMPLETED,8,1,04-28-2019
4224,COMPLETED,8,25,11-27-2021
6,COMPLETED,7,26,02-13-2022
12883,COMPLETED,5,12,04-29-2018
101506,COMPLETED,6,12,12-27-2018
98514,COMPLETED,8,13,08-15-2018
10798,COMPLETED,6,11,03-08-2019
21696,COMPLETED,8,12,09-26-2019
10162,COMPLETED,9,11,01-28-2018
21827,COMPLETED,8,13,
99578,COMPLETED,9,11,04-30-2019
20966,COMPLETED,7,12,02-08-2019
21613,COMPLETED,7,12,05-05-2019
4548,COMPLETED,8,12,06-09-2019
100483,COMPLETED,6,12,06-09-2022
98444,COMPLETED,10,12,04-13-2018
104459,COMPLETED,9,13,05-02-2021
106509,COMPLETED,8,2,10-01-2019
108511,COMPLETED,8,12,04-05-2021
103256,COMPLETED,5,1,03-23-2019
103139,COMPLETED,6,12,11-08-2019
108623,COMPLETED,7,1,09-24-2020
16001,COMPLETED,7,4,
108631,COMPLETED,7,8,03-13-2021
855,COMPLETED,5,26,04-07-2019
12355,COMPLETED,7,1,05-11-2019
572,COMPLETED,7,1,04-22-2019
10408,COMPLETED,9,1,04-08-2019
20981,COMPLETED,8,1,05-02-2019
513,COMPLETED,7,1,04-01-2019
512,COMPLETED,7,1,04-02-2019
21093,COMPLETED,8,12,04-28-2019
1654,COMPLETED,5,1,04-27-2019
20811,COMPLETED,7,2,04-28-2019
108942,COMPLETED,7,4,04-28-2019
9062,COMPLETED,6,2,05-04-2019
10067,COMPLETED,5,1,05-03-2019
104325,COMPLETED,6,12,06-23-2019
101922,COMPLETED,10,26,09-28-2019
18497,COMPLETED,9,13,06-15-2019
16732,COMPLETED,7,12,08-26-2019
110277,COMPLETED,9,16,04-03-2021
109403,COMPLETED,8,12,04-12-2021
105333,COMPLETED,10,24,
20654,COMPLETED,7,12,09-04-2019
21753,COMPLETED,7,1,09-06-2019
105074,COMPLETED,5,12,09-28-2019
107226,COMPLETED,6,12,10-01-2019
98820,COMPLETED,7,12,08-10-2019
105310,COMPLETED,8,24,12-27-2019
104723,COMPLETED,4,12,10-02-2019
112151,COMPLETED,8,1,07-31-2021
109963,COMPLETED,7,12,12-29-2019
103275,COMPLETED,8,21,03-31-2020
1138,COMPLETED,4,52,11-10-2019
104159,COMPLETED,6,12,04-01-2020
104722,COMPLETED,4,12,12-27-2019
99394,COMPLETED,6,1,10-09-2019
12317,COMPLETED,3,10,10-07-2020
108759,COMPLETED,6,12,05-02-2020
97875,COMPLETED,6,12,10-24-2019
101759,COMPLETED,10,12,04-17-2020
108632,COMPLETED,8,13,10-02-2020
107339,COMPLETED,6,12,12-22-2019
105156,COMPLETED,8,12,12-28-2019
101348,COMPLETED,6,24,12-29-2019
108478,COMPLETED,8,12,12-27-2019
20829,COMPLETED,6,12,04-16-2020
8769,COMPLETED,7,12,05-10-2020
20513,COMPLETED,7,11,01-20-2021
8841,COMPLETED,5,12,05-30-2020
21403,COMPLETED,7,1,12-15-2019
4382,COMPLETED,6,14,02-08-2020
5681,COMPLETED,7,1,08-07-2021
7311,COMPLETED,8,1,02-18-2020
17549,COMPLETED,8,12,02-14-2021
101347,COMPLETED,8,24,10-09-2021
11499,COMPLETED,7,12,
99483,COMPLETED,5,12,05-17-2020
101261,COMPLETED,6,11,11-10-2019
100728,COMPLETED,6,1,11-08-2019
20694,COMPLETED,8,12,02-24-2021
98779,COMPLETED,7,1,04-09-2021
